"transaction_id","cardholder_id","card_id","merchant_id","transaction_date","merchant_category","transaction_amount","merchant_country","entry_mode","transaction_currency"
"1","12267","14954","5948","2025-11-25","jewelry","4103.68","uk","contactless","eur"
"2","10277","14133","1323","2025-04-19","gaming","212.56","fr","wallet","gbp"
"3","16790","7308","686","2025-08-31","fuel","5420.82","fr","manual_keyed","usd"
"4","7848","15391","9103","2025-07-25","fuel","6169.53","uk","wallet","cad"
"5","2847","3787","7019","2025-01-23","travel","3782.84","uk","manual_keyed","gbp"
"6","16546","2112","8616","2025-10-29","jewelry","1002.74","br","ecommerce","cad"
"7","15828","22283","3900","2025-04-18","digital_services","3301.13","fr","contactless","gbp"
"8","16802","2027","9871","2025-01-08","jewelry","5555.38","mx","manual_keyed","cad"
"9","17179","4079","5836","2025-11-29","electronics","5130.5","fr","contactless","gbp"
"10","17435","48","12741","2025-06-04","digital_services","5835.69","de","ecommerce","usd"
"11","2660","13222","4763","2025-10-24","electronics","2884.89","ae","ecommerce","gbp"
"12","11776","394","14768","2025-07-23","gaming","3384.85","br","manual_keyed","usd"
"13","11764","4832","2537","2025-05-19","grocery","8294.45","br","manual_keyed","gbp"
"14","2617","10520","9052","2025-12-12","cash_advance","9208.03","mx","chip","cad"
"15","3136","22007","11127","2025-01-22","gaming","1792.03","us","manual_keyed","eur"
"16","12587","1378","14867","2025-03-15","gaming","2867.59","mx","contactless","cad"
"17","8155","13983","2129","2025-12-27","travel","660.94","mx","manual_keyed","gbp"
"18","13521","2576","12402","2025-07-18","cash_advance","8421.58","br","ecommerce","gbp"
"19","6799","3621","6","2025-06-09","cash_advance","4746.31","mx","chip","gbp"
"20","960","3524","2041","2025-03-18","gaming","5314.5","sg","chip","cad"
"21","673","19935","11354","2025-12-30","jewelry","4182.95","sg","manual_keyed","gbp"
"22","13690","20985","2777","2025-08-03","grocery","7593.32","us","ecommerce","gbp"
"23","6770","2936","1917","2025-08-07","cash_advance","8295.57","us","contactless","eur"
"24","9047","23271","7212","2025-01-13","electronics","4072.08","uk","chip","usd"
"25","8769","8149","14466","2025-01-22","digital_services","1990.05","br","wallet","usd"
"26","13456","18175","7623","2025-06-29","electronics","5359.13","de","wallet","gbp"
"27","11077","3295","5117","2025-02-15","travel","4054.85","uk","ecommerce","usd"
"28","5065","13504","2683","2025-10-23","electronics","5273.69","ae","chip","cad"
"29","17517","8676","7018","2025-06-02","electronics","76.49","us","manual_keyed","cad"
"30","2921","10937","14946","2025-06-20","jewelry","3102.42","mx","manual_keyed","usd"
"31","10581","17628","12034","2025-04-01","fuel","4771.47","de","chip","usd"
"32","17432","10518","14043","2025-06-18","grocery","3623.69","fr","ecommerce","eur"
"33","15034","612","8146","2025-08-13","grocery","2027.45","br","ecommerce","eur"
"34","11848","6349","8963","2025-08-14","travel","6160.72","br","chip","usd"
"35","1496","23668","4428","2025-08-20","grocery","86.23","sg","chip","gbp"
"36","2289","15602","14580","2025-03-26","grocery","4181.62","us","chip","usd"
"37","4034","5330","13905","2025-09-08","cash_advance","1614.44","mx","chip","eur"
"38","1278","2961","1659","2025-01-22","fuel","762.13","de","contactless","eur"
"39","4994","4711","6130","2025-02-12","cash_advance","1481.3","uk","chip","cad"
"40","13798","4226","6348","2025-01-21","grocery","3268.67","mx","contactless","gbp"
"41","9341","3591","7241","2025-06-12","digital_services","1712.9","br","wallet","gbp"
"42","3618","13877","11114","2025-08-07","digital_services","9279.66","ae","manual_keyed","eur"
"43","3526","8989","11257","2025-04-03","fuel","7526.64","mx","ecommerce","usd"
"44","2056","11724","12991","2025-07-08","travel","1872.89","us","chip","cad"
"45","5749","15220","11028","2025-03-11","jewelry","1522.69","uk","ecommerce","gbp"
"46","13237","14694","313","2025-10-27","travel","4206.5","de","chip","cad"
"47","14091","15211","6771","2025-09-03","fuel","5615.04","de","manual_keyed","usd"
"48","11756","23797","8617","2025-10-14","fuel","2668.69","us","contactless","eur"
"49","9095","2803","6713","2025-12-21","cash_advance","6657.0","de","ecommerce","eur"
"50","10971","6562","2939","2025-07-20","digital_services","1579.68","de","manual_keyed","eur"
"51","3254","7661","8850","2025-05-22","gaming","8701.07","ae","wallet","usd"
"52","14427","20331","12980","2025-11-30","digital_services","2313.55","ae","contactless","cad"
"53","2935","23650","8746","2025-01-31","jewelry","2288.81","ae","manual_keyed","usd"
"54","10684","18072","3131","2025-03-12","travel","268.65","mx","wallet","cad"
"55","5396","2103","7527","2025-10-11","fuel","6963.27","sg","manual_keyed","cad"
"56","13304","18366","8332","2025-11-14","jewelry","8349.54","ae","wallet","gbp"
"57","5293","9105","2424","2025-07-25","fuel","1451.38","fr","contactless","usd"
"58","8856","18822","2026","2025-09-06","fuel","7547.01","de","contactless","eur"
"59","13821","5168","2767","2025-08-22","cash_advance","5632.55","fr","contactless","eur"
"60","15220","3854","11294","2025-03-20","gaming","8882.74","sg","ecommerce","gbp"
"61","10924","22478","3361","2025-05-11","gaming","4953.5","ae","chip","cad"
"62","13642","23802","5142","2025-03-23","electronics","5023.95","fr","manual_keyed","gbp"
"63","8076","8471","1174","2025-04-18","fuel","9247.09","uk","chip","gbp"
"64","7968","6688","8456","2025-03-02","travel","2100.94","us","ecommerce","cad"
"65","12030","3455","8813","2025-07-06","digital_services","1551.34","ae","contactless","eur"
"66","9626","22902","4280","2025-02-07","electronics","3167.51","uk","ecommerce","usd"
"67","8644","22896","11620","2025-02-09","electronics","1426.6","de","chip","eur"
"68","5575","14544","3550","2025-09-04","cash_advance","3745.71","mx","contactless","cad"
"69","15154","24004","8966","2025-10-17","jewelry","7028.19","fr","contactless","usd"
"70","12486","19070","3997","2025-04-03","cash_advance","8299.03","de","chip","cad"
"71","11114","19259","2777","2025-07-11","gaming","1972.7","br","wallet","cad"
"72","16995","23575","67","2025-01-07","gaming","3371.14","mx","wallet","gbp"
"73","9605","5980","3119","2025-10-26","digital_services","3394.66","mx","contactless","eur"
"74","5716","23450","4811","2025-10-18","electronics","2648.86","fr","chip","cad"
"75","12485","4389","8526","2025-03-29","fuel","7256.35","br","wallet","usd"
"76","1395","21378","8344","2025-03-16","fuel","4485.01","de","manual_keyed","gbp"
"77","6110","22442","8299","2025-12-17","digital_services","733.78","sg","wallet","eur"
"78","10060","15004","12523","2025-04-23","digital_services","367.73","uk","wallet","gbp"
"79","17195","3005","9169","2025-08-04","digital_services","8377.97","sg","contactless","gbp"
