"cardholder_id","credit_score_band","customer_name","home_region","customer_segment","tenure_months","travel_frequency","historical_chargeback_flag","risk_band"
"1","prime","cardholder_1","north_america","mass_market","63","occasional","1","low"
"2","super_prime","cardholder_2","north_america","high_risk","9","rare","1","moderate"
"3","near_prime","cardholder_3","north_america","high_risk","167","very_frequent","0","elevated"
"4","super_prime","cardholder_4","europe","mass_market","88","frequent","1","elevated"
"5","super_prime","cardholder_5","north_america","mass_market","25","frequent","0","elevated"
"6","subprime","cardholder_6","latin_america","mass_market","97","rare","0","elevated"
"7","subprime","cardholder_7","europe","high_risk","12","occasional","0","low"
"8","super_prime","cardholder_8","north_america","affluent","72","very_frequent","0","elevated"
"9","prime","cardholder_9","asia_pacific","affluent","54","frequent","0","low"
"10","near_prime","cardholder_10","europe","high_risk","42","very_frequent","0","moderate"
"11","near_prime","cardholder_11","north_america","travel_frequent","9","frequent","0","low"
"12","near_prime","cardholder_12","asia_pacific","affluent","168","very_frequent","0","high"
"13","near_prime","cardholder_13","asia_pacific","affluent","64","frequent","0","high"
"14","prime","cardholder_14","latin_america","high_risk","57","occasional","0","low"
"15","near_prime","cardholder_15","north_america","mass_market","161","occasional","0","high"
"16","super_prime","cardholder_16","north_america","high_risk","98","very_frequent","0","low"
"17","prime","cardholder_17","asia_pacific","mass_market","29","frequent","0","high"
"18","near_prime","cardholder_18","asia_pacific","mass_market","130","rare","0","elevated"
"19","near_prime","cardholder_19","europe","high_risk","96","occasional","0","low"
"20","super_prime","cardholder_20","asia_pacific","high_risk","5","rare","0","elevated"
"21","near_prime","cardholder_21","north_america","affluent","146","rare","1","high"
"22","near_prime","cardholder_22","europe","mass_market","169","very_frequent","0","moderate"
"23","near_prime","cardholder_23","latin_america","travel_frequent","139","occasional","0","high"
"24","super_prime","cardholder_24","latin_america","travel_frequent","31","occasional","0","elevated"
"25","near_prime","cardholder_25","europe","mass_market","2","rare","0","low"
"26","subprime","cardholder_26","north_america","affluent","85","rare","0","elevated"
"27","near_prime","cardholder_27","europe","small_business","147","very_frequent","0","high"
"28","subprime","cardholder_28","europe","small_business","25","very_frequent","0","high"
"29","subprime","cardholder_29","north_america","small_business","16","very_frequent","0","low"
"30","near_prime","cardholder_30","europe","affluent","138","very_frequent","1","moderate"
"31","near_prime","cardholder_31","latin_america","travel_frequent","20","very_frequent","0","low"
"32","subprime","cardholder_32","north_america","mass_market","61","occasional","0","high"
"33","subprime","cardholder_33","latin_america","affluent","43","very_frequent","1","high"
"34","prime","cardholder_34","latin_america","travel_frequent","109","very_frequent","1","elevated"
"35","subprime","cardholder_35","north_america","affluent","81","rare","1","high"
"36","subprime","cardholder_36","europe","high_risk","131","rare","0","low"
"37","near_prime","cardholder_37","north_america","high_risk","104","rare","0","moderate"
"38","subprime","cardholder_38","north_america","high_risk","108","frequent","0","moderate"
"39","prime","cardholder_39","europe","travel_frequent","102","occasional","0","elevated"
"40","subprime","cardholder_40","asia_pacific","small_business","3","very_frequent","0","low"
"41","prime","cardholder_41","europe","mass_market","34","frequent","0","moderate"
"42","near_prime","cardholder_42","asia_pacific","travel_frequent","113","frequent","0","low"
"43","subprime","cardholder_43","asia_pacific","high_risk","35","frequent","1","low"
"44","prime","cardholder_44","europe","high_risk","73","occasional","0","moderate"
"45","prime","cardholder_45","latin_america","travel_frequent","14","rare","0","elevated"
"46","prime","cardholder_46","north_america","mass_market","34","frequent","0","high"
"47","subprime","cardholder_47","latin_america","high_risk","29","rare","0","moderate"
"48","prime","cardholder_48","north_america","high_risk","150","occasional","0","low"
"49","subprime","cardholder_49","asia_pacific","travel_frequent","92","occasional","0","low"
"50","near_prime","cardholder_50","latin_america","travel_frequent","61","occasional","0","moderate"
"51","near_prime","cardholder_51","north_america","small_business","86","very_frequent","0","moderate"
"52","subprime","cardholder_52","europe","travel_frequent","98","rare","0","moderate"
"53","prime","cardholder_53","latin_america","affluent","79","occasional","0","moderate"
"54","prime","cardholder_54","asia_pacific","small_business","18","frequent","0","high"
"55","subprime","cardholder_55","asia_pacific","high_risk","30","frequent","0","elevated"
"56","super_prime","cardholder_56","north_america","mass_market","89","frequent","0","low"
"57","prime","cardholder_57","europe","small_business","12","very_frequent","1","moderate"
"58","subprime","cardholder_58","latin_america","travel_frequent","171","frequent","0","low"
"59","super_prime","cardholder_59","asia_pacific","travel_frequent","84","very_frequent","0","moderate"
"60","super_prime","cardholder_60","latin_america","affluent","174","occasional","0","elevated"
"61","prime","cardholder_61","north_america","small_business","74","occasional","0","elevated"
"62","super_prime","cardholder_62","latin_america","small_business","173","occasional","0","moderate"
"63","prime","cardholder_63","asia_pacific","mass_market","24","occasional","0","moderate"
"64","subprime","cardholder_64","europe","affluent","12","occasional","0","low"
"65","near_prime","cardholder_65","latin_america","small_business","179","very_frequent","0","moderate"
"66","subprime","cardholder_66","north_america","affluent","109","occasional","0","high"
"67","subprime","cardholder_67","europe","mass_market","117","occasional","0","elevated"
"68","super_prime","cardholder_68","latin_america","small_business","41","very_frequent","0","moderate"
"69","near_prime","cardholder_69","latin_america","travel_frequent","71","very_frequent","1","elevated"
"70","prime","cardholder_70","asia_pacific","affluent","82","rare","1","moderate"
"71","near_prime","cardholder_71","europe","small_business","17","very_frequent","0","high"
"72","near_prime","cardholder_72","north_america","small_business","108","very_frequent","0","low"
"73","super_prime","cardholder_73","latin_america","high_risk","2","frequent","0","high"
"74","super_prime","cardholder_74","europe","small_business","57","frequent","0","low"
"75","super_prime","cardholder_75","asia_pacific","small_business","43","very_frequent","0","low"
"76","subprime","cardholder_76","north_america","small_business","165","very_frequent","1","high"
"77","prime","cardholder_77","north_america","affluent","98","frequent","0","elevated"
"78","prime","cardholder_78","latin_america","travel_frequent","108","frequent","0","high"
"79","prime","cardholder_79","north_america","mass_market","58","rare","0","low"
"80","near_prime","cardholder_80","europe","mass_market","6","occasional","0","high"
"81","super_prime","cardholder_81","europe","mass_market","180","frequent","0","moderate"
"82","near_prime","cardholder_82","north_america","high_risk","80","rare","0","elevated"
"83","super_prime","cardholder_83","latin_america","high_risk","51","rare","0","moderate"
"84","subprime","cardholder_84","asia_pacific","mass_market","145","rare","0","high"
"85","prime","cardholder_85","north_america","travel_frequent","4","very_frequent","0","low"
"86","super_prime","cardholder_86","asia_pacific","small_business","40","very_frequent","0","elevated"
"87","super_prime","cardholder_87","latin_america","high_risk","112","frequent","0","moderate"
"88","super_prime","cardholder_88","asia_pacific","mass_market","63","very_frequent","0","high"
"89","super_prime","cardholder_89","north_america","travel_frequent","84","occasional","0","elevated"
"90","prime","cardholder_90","asia_pacific","travel_frequent","153","frequent","0","moderate"
"91","super_prime","cardholder_91","europe","mass_market","126","occasional","0","high"
"92","subprime","cardholder_92","north_america","small_business","76","occasional","0","moderate"
"93","super_prime","cardholder_93","asia_pacific","travel_frequent","142","frequent","0","elevated"
"94","prime","cardholder_94","latin_america","travel_frequent","79","frequent","0","moderate"
"95","near_prime","cardholder_95","north_america","travel_frequent","50","occasional","0","elevated"
"96","subprime","cardholder_96","asia_pacific","high_risk","50","frequent","0","moderate"
"97","near_prime","cardholder_97","north_america","travel_frequent","71","rare","0","elevated"
"98","subprime","cardholder_98","latin_america","affluent","4","frequent","0","high"
"99","subprime","cardholder_99","europe","travel_frequent","65","very_frequent","1","low"
"100","subprime","cardholder_100","latin_america","small_business","148","rare","1","elevated"
"101","subprime","cardholder_101","europe","mass_market","143","very_frequent","0","moderate"
"102","super_prime","cardholder_102","latin_america","high_risk","114","frequent","0","high"
"103","subprime","cardholder_103","north_america","travel_frequent","54","occasional","0","low"
"104","near_prime","cardholder_104","europe","affluent","142","rare","1","high"
"105","prime","cardholder_105","latin_america","small_business","9","occasional","0","elevated"
"106","near_prime","cardholder_106","north_america","small_business","68","occasional","0","moderate"
"107","near_prime","cardholder_107","asia_pacific","affluent","19","rare","0","elevated"
"108","super_prime","cardholder_108","asia_pacific","high_risk","32","very_frequent","0","high"
"109","super_prime","cardholder_109","latin_america","travel_frequent","21","rare","0","elevated"
"110","subprime","cardholder_110","asia_pacific","high_risk","24","occasional","0","low"
"111","near_prime","cardholder_111","north_america","travel_frequent","121","very_frequent","0","moderate"
"112","super_prime","cardholder_112","latin_america","high_risk","24","very_frequent","0","elevated"
"113","near_prime","cardholder_113","north_america","travel_frequent","85","very_frequent","0","elevated"
"114","super_prime","cardholder_114","north_america","small_business","23","frequent","0","low"
"115","super_prime","cardholder_115","north_america","small_business","106","rare","0","elevated"
"116","super_prime","cardholder_116","latin_america","high_risk","14","occasional","0","moderate"
"117","super_prime","cardholder_117","latin_america","travel_frequent","32","rare","0","moderate"
"118","subprime","cardholder_118","asia_pacific","affluent","142","very_frequent","1","low"
"119","near_prime","cardholder_119","north_america","small_business","128","frequent","0","elevated"
"120","super_prime","cardholder_120","latin_america","small_business","63","very_frequent","0","high"
"121","subprime","cardholder_121","europe","affluent","71","very_frequent","0","elevated"
"122","prime","cardholder_122","asia_pacific","mass_market","151","very_frequent","0","high"
"123","prime","cardholder_123","latin_america","high_risk","86","very_frequent","0","elevated"
"124","super_prime","cardholder_124","europe","affluent","60","very_frequent","1","high"
"125","near_prime","cardholder_125","latin_america","small_business","127","rare","1","elevated"
"126","subprime","cardholder_126","latin_america","mass_market","135","very_frequent","1","moderate"
