"card_id","cardholder_id","issue_date","status","card_product","network","credit_limit","card_present_usage_ratio","digital_wallet_flag"
"1","13892","2019-09-26","reissued","business","mastercard","16659.48","0.056","1"
"2","12347","2024-09-13","active","cashback","amex","35326.73","0.104","0"
"3","14612","2020-09-21","active","business","mastercard","32152.56","0.023","0"
"4","11837","2022-02-13","reissued","student","mastercard","2144.6","0.752","1"
"5","12317","2023-04-19","reissued","student","amex","25110.96","0.381","1"
"6","1968","2024-08-12","reissued","premium","visa","703.62","0.091","1"
"7","8513","2021-02-03","reissued","travel_rewards","visa","3333.25","0.794","1"
"8","6258","2021-05-27","reissued","travel_rewards","mastercard","32607.82","0.914","1"
"9","4296","2019-09-25","active","business","mastercard","10431.76","0.08","1"
"10","15698","2021-03-20","reissued","business","amex","2717.3","0.041","1"
"11","15557","2019-01-25","temporarily_blocked","business","visa","32033.72","0.496","1"
"12","8834","2023-11-15","temporarily_blocked","travel_rewards","mastercard","5171.9","0.297","1"
"13","744","2019-09-15","temporarily_blocked","premium","mastercard","34972.63","0.436","0"
"14","7709","2022-01-25","active","business","visa","15718.14","0.53","0"
"15","12235","2025-05-17","closed","student","mastercard","27631.27","0.254","1"
"16","2267","2023-02-07","active","cashback","mastercard","33572.53","0.024","1"
"17","11220","2025-09-23","temporarily_blocked","premium","mastercard","37838.46","0.23","1"
"18","6410","2020-01-06","closed","travel_rewards","amex","17836.75","0.722","0"
"19","11404","2019-05-27","closed","travel_rewards","mastercard","18661.47","0.082","0"
"20","14165","2022-12-14","reissued","cashback","amex","30527.42","0.568","1"
"21","14831","2020-10-30","reissued","business","visa","35460.82","0.159","1"
"22","8943","2022-09-24","temporarily_blocked","student","visa","11604.78","0.146","1"
"23","11983","2025-02-07","temporarily_blocked","business","visa","35949.33","0.322","1"
"24","13677","2024-06-07","active","business","amex","5627.93","0.763","0"
"25","4788","2022-10-23","active","cashback","visa","22819.92","0.814","0"
"26","1861","2024-01-19","temporarily_blocked","premium","amex","27564.17","0.333","1"
"27","9688","2023-01-13","closed","student","amex","12951.61","0.083","0"
"28","5785","2021-08-24","active","travel_rewards","visa","1527.6","0.665","0"
"29","6383","2020-02-17","reissued","student","mastercard","35164.6","0.429","1"
"30","12849","2023-05-04","active","student","mastercard","26826.1","0.454","0"
"31","6610","2019-09-28","active","business","visa","3832.89","0.928","0"
"32","8221","2020-12-16","temporarily_blocked","cashback","amex","15349.75","0.031","1"
"33","16051","2023-08-08","active","premium","amex","27703.33","0.726","1"
"34","16352","2020-10-24","temporarily_blocked","business","visa","19507.76","0.806","1"
"35","11733","2024-03-08","active","premium","amex","24676.72","0.748","1"
"36","13684","2019-11-17","active","premium","mastercard","29096.82","0.755","0"
"37","9741","2024-06-03","temporarily_blocked","student","amex","39603.17","0.834","1"
"38","11067","2021-08-25","temporarily_blocked","business","visa","26548.76","0.916","1"
"39","14447","2023-01-15","closed","premium","visa","14125.47","0.858","1"
"40","11269","2021-10-12","reissued","cashback","amex","16238.45","0.691","1"
"41","317","2025-03-02","reissued","business","amex","4601.32","0.348","0"
"42","7678","2021-09-30","reissued","travel_rewards","amex","3290.93","0.102","0"
"43","16128","2021-04-27","active","cashback","visa","34867.19","0.052","0"
"44","4042","2024-05-19","active","business","visa","15575.63","0.607","1"
"45","10580","2019-05-13","active","cashback","visa","34304.31","0.833","1"
"46","15421","2019-07-28","reissued","student","mastercard","7499.02","0.349","1"
"47","11665","2025-07-12","temporarily_blocked","business","visa","4170.31","0.888","1"
"48","7216","2022-04-21","closed","travel_rewards","amex","17343.54","0.474","1"
"49","9886","2019-10-14","reissued","business","mastercard","39778.55","0.834","1"
"50","16172","2024-05-08","active","travel_rewards","visa","12453.4","0.339","0"
"51","5881","2024-10-12","temporarily_blocked","cashback","amex","33559.23","0.614","1"
"52","8040","2025-10-31","active","travel_rewards","amex","31216.89","0.093","0"
"53","7755","2022-03-28","active","student","amex","24148.96","0.796","0"
"54","13131","2020-10-29","reissued","travel_rewards","mastercard","6989.61","0.891","0"
"55","16961","2025-04-15","closed","student","visa","23584.21","0.736","1"
"56","1546","2019-02-25","closed","cashback","visa","10422.74","0.784","0"
"57","9188","2025-08-13","closed","travel_rewards","amex","4994.17","0.228","0"
"58","15187","2022-10-02","reissued","travel_rewards","mastercard","35607.46","0.641","0"
"59","2297","2020-02-19","active","cashback","visa","35632.05","0.56","0"
