"metric_id","merchant_id","metric_date","transactions_total","approved_amount","decline_rate","fraud_alerts_total","confirmed_fraud_total","chargeback_rate","loss_amount"
"1","7170","2025-02-19","380","276874.83","0.2481","20","12","0.0109","44027.9"
"2","2008","2025-07-12","733","111069.2","0.1632","47","10","0.0329","40603.72"
"3","8993","2025-05-15","564","68759.26","0.0416","87","16","0.1008","40243.18"
"4","6628","2025-02-09","1170","107870.82","0.1018","9","2","0.0063","40262.56"
"5","5680","2025-09-06","46","245600.11","0.0446","44","23","0.1001","49547.36"
"6","1101","2025-11-15","1454","18827.73","0.1347","54","2","0.1457","32425.31"
"7","11761","2025-04-10","1758","142438.59","0.1439","46","13","0.0006","27489.31"
"8","4267","2025-06-15","367","54599.73","0.0539","71","8","0.0327","8651.57"
"9","10656","2025-02-16","1662","174689.03","0.2373","36","9","0.1152","40819.89"
"10","2699","2025-03-02","1143","197240.36","0.1841","74","23","0.1328","49481.01"
"11","13985","2025-08-23","933","35363.28","0.0605","73","12","0.1285","19867.38"
"12","13845","2025-07-31","763","100750.63","0.2278","7","12","0.0717","11332.05"
"13","12320","2025-07-25","583","19298.48","0.0051","20","13","0.1052","45249.57"
"14","11255","2025-11-03","327","276375.72","0.0087","51","17","0.0888","4536.95"
"15","2549","2025-07-12","1457","97106.99","0.228","15","17","0.1339","75.19"
"16","11528","2025-06-16","40","273748.02","0.0428","3","26","0.0022","46399.68"
"17","5633","2025-11-13","682","201395.02","0.0387","8","13","0.159","49713.03"
"18","7942","2025-05-07","587","131757.35","0.0545","85","15","0.1307","4938.1"
"19","6461","2025-07-17","645","220924.76","0.1271","78","4","0.1097","36619.51"
"20","889","2025-08-06","1461","156612.52","0.1274","84","4","0.0601","22853.59"
"21","11906","2025-12-05","205","18768.32","0.0905","68","10","0.0259","957.49"
"22","5825","2025-10-31","656","239483.02","0.0802","84","28","0.1035","35285.06"
"23","7502","2025-02-08","109","98273.12","0.216","20","9","0.1393","49090.96"
"24","5728","2025-07-12","1676","194418.33","0.1271","50","12","0.081","9032.36"
"25","5516","2025-07-23","882","38007.61","0.111","35","30","0.0312","15281.79"
"26","7775","2025-06-14","998","239756.39","0.1612","65","11","0.1597","29794.96"
"27","5966","2025-12-05","937","166320.39","0.1975","76","10","0.0614","7019.37"
"28","9085","2025-08-10","1487","48502.27","0.0041","36","3","0.0591","26314.05"
"29","6315","2025-04-13","155","213802.29","0.1189","40","9","0.0807","24792.92"
"30","14897","2025-09-04","1062","157183.37","0.0221","44","10","0.1595","44270.97"
"31","8228","2025-03-14","1597","62645.95","0.0405","7","23","0.0299","43945.8"
"32","7348","2025-10-28","808","259639.02","0.1487","5","4","0.0076","1839.37"
"33","12125","2025-02-04","1755","134163.32","0.2164","46","16","0.0948","44073.07"
"34","6014","2025-05-10","497","198341.04","0.0872","20","22","0.1176","28725.36"
"35","4324","2025-05-10","991","40287.73","0.1277","48","22","0.0649","24716.62"
"36","7142","2025-07-22","1227","102147.63","0.0235","45","2","0.0734","15580.61"
"37","8226","2025-06-13","1457","3470.25","0.248","44","5","0.0421","19862.36"
"38","13974","2025-06-06","645","270060.47","0.1614","51","17","0.1565","42217.66"
"39","2321","2025-06-16","938","58991.58","0.0099","51","11","0.0046","2906.99"
"40","11230","2025-04-25","277","149031.69","0.0515","0","21","0.0288","18358.42"
"41","13468","2025-01-14","1593","103765.52","0.0647","57","22","0.0381","40812.94"
"42","14154","2025-05-13","447","137051.39","0.0229","32","3","0.1421","5176.76"
