"fraud_case_id","transaction_id","cardholder_id","card_id","alert_date","fraud_type","investigation_status","chargeback_amount","loss_amount","model_score"
"1","134495","5117","7772","2025-08-19","friendly_fraud","false_positive","7360.74","5029.32","0.338"
"2","67707","16927","4332","2025-01-21","identity_theft","recovered","5798.21","5629.02","0.827"
"3","62044","15486","16991","2025-07-02","card_not_present","confirmed_fraud","7208.73","4553.33","0.296"
"4","47793","8086","14619","2025-09-13","account_takeover","under_review","2218.64","3722.64","0.897"
"5","64404","7992","13066","2025-09-25","card_not_present","under_review","2193.78","4137.88","0.264"
"6","138034","12341","7488","2025-04-18","counterfeit","false_positive","4011.14","2583.16","0.637"
"7","66466","17546","6706","2025-05-03","identity_theft","recovered","7109.16","3363.42","0.853"
"8","170724","7571","8694","2025-07-07","counterfeit","confirmed_fraud","440.62","5490.97","0.06"
"9","158497","15153","24261","2025-10-19","identity_theft","false_positive","6287.35","1623.12","0.969"
"10","86497","4359","4076","2025-03-24","friendly_fraud","confirmed_fraud","2195.67","2771.24","0.104"
"11","104162","2326","22395","2025-12-04","account_takeover","confirmed_fraud","5196.43","2162.87","0.202"
"12","62655","14716","23943","2025-09-17","friendly_fraud","confirmed_fraud","1528.96","5029.68","0.048"
"13","89050","608","9444","2025-01-13","merchant_collusion","false_positive","1196.59","53.98","0.345"
"14","33036","13774","9432","2025-10-25","card_not_present","false_positive","5470.84","708.67","0.665"
"15","179748","7476","14062","2025-10-06","account_takeover","confirmed_fraud","4900.58","3801.18","0.205"
"16","105242","11794","6690","2025-05-31","counterfeit","recovered","2993.57","3525.75","0.812"
"17","168512","13192","12975","2025-05-30","card_not_present","under_review","5712.9","2274.06","0.981"
"18","124507","9365","9113","2025-11-03","merchant_collusion","under_review","6726.98","166.78","0.813"
"19","149608","16085","18429","2025-03-06","friendly_fraud","confirmed_fraud","598.24","4164.51","0.184"
"20","44144","739","23666","2025-06-10","merchant_collusion","false_positive","4051.94","5694.94","0.259"
"21","122085","8409","23812","2025-08-22","card_not_present","recovered","999.6","4851.94","0.233"
"22","25248","2841","8404","2025-01-03","merchant_collusion","confirmed_fraud","4770.22","1570.71","0.355"
