card_id,cardholder_id,status,card_product,network,credit_limit,card_present_usage_ratio,digital_wallet_flag
1,13892,reissued,business,mastercard,16659.48,0.056,1
2,12347,active,cashback,amex,35326.73,0.104,0
3,14612,active,business,mastercard,32152.56,0.023,0
4,11837,reissued,student,mastercard,2144.6,0.752,1
5,12317,reissued,student,amex,25110.96,0.381,1
6,1968,reissued,premium,visa,703.62,0.091,1
7,8513,reissued,travel_rewards,visa,3333.25,0.794,1
8,6258,reissued,travel_rewards,mastercard,32607.82,0.914,1
9,4296,active,business,mastercard,10431.76,0.08,1
10,15698,reissued,business,amex,2717.3,0.041,1
11,15557,temporarily_blocked,business,visa,32033.72,0.496,1
12,8834,temporarily_blocked,travel_rewards,mastercard,5171.9,0.297,1
13,744,temporarily_blocked,premium,mastercard,34972.63,0.436,0
14,7709,active,business,visa,15718.14,0.53,0
15,12235,closed,student,mastercard,27631.27,0.254,1
16,2267,active,cashback,mastercard,33572.53,0.024,1
17,11220,temporarily_blocked,premium,mastercard,37838.46,0.23,1
18,6410,closed,travel_rewards,amex,17836.75,0.722,0
19,11404,closed,travel_rewards,mastercard,18661.47,0.082,0
20,14165,reissued,cashback,amex,30527.42,0.568,1
21,14831,reissued,business,visa,35460.82,0.159,1
22,8943,temporarily_blocked,student,visa,11604.78,0.146,1
23,11983,temporarily_blocked,business,visa,35949.33,0.322,1
24,13677,active,business,amex,5627.93,0.763,0
25,4788,active,cashback,visa,22819.92,0.814,0
26,1861,temporarily_blocked,premium,amex,27564.17,0.333,1
27,9688,closed,student,amex,12951.61,0.083,0
28,5785,active,travel_rewards,visa,1527.6,0.665,0
29,6383,reissued,student,mastercard,35164.6,0.429,1
30,12849,active,student,mastercard,26826.1,0.454,0
31,6610,active,business,visa,3832.89,0.928,0
32,8221,temporarily_blocked,cashback,amex,15349.75,0.031,1
33,16051,active,premium,amex,27703.33,0.726,1
34,16352,temporarily_blocked,business,visa,19507.76,0.806,1
35,11733,active,premium,amex,24676.72,0.748,1
36,13684,active,premium,mastercard,29096.82,0.755,0
37,9741,temporarily_blocked,student,amex,39603.17,0.834,1
38,11067,temporarily_blocked,business,visa,26548.76,0.916,1
39,14447,closed,premium,visa,14125.47,0.858,1
40,11269,reissued,cashback,amex,16238.45,0.691,1
41,317,reissued,business,amex,4601.32,0.348,0
42,7678,reissued,travel_rewards,amex,3290.93,0.102,0
43,16128,active,cashback,visa,34867.19,0.052,0
44,4042,active,business,visa,15575.63,0.607,1
45,10580,active,cashback,visa,34304.31,0.833,1
46,15421,reissued,student,mastercard,7499.02,0.349,1
