fraud_case_id,transaction_id,alert_date,fraud_type,investigation_status,chargeback_amount,loss_amount,model_score
1,134495,2025-08-19,friendly_fraud,false_positive,7360.74,5029.32,0.338
2,67707,2025-01-21,identity_theft,recovered,5798.21,5629.02,0.827
3,62044,2025-07-02,card_not_present,confirmed_fraud,7208.73,4553.33,0.296
4,47793,2025-09-13,account_takeover,under_review,2218.64,3722.64,0.897
5,64404,2025-09-25,card_not_present,under_review,2193.78,4137.88,0.264
6,138034,2025-04-18,counterfeit,false_positive,4011.14,2583.16,0.637
7,66466,2025-05-03,identity_theft,recovered,7109.16,3363.42,0.853
8,170724,2025-07-07,counterfeit,confirmed_fraud,440.62,5490.97,0.06
9,158497,2025-10-19,identity_theft,false_positive,6287.35,1623.12,0.969
10,86497,2025-03-24,friendly_fraud,confirmed_fraud,2195.67,2771.24,0.104
11,104162,2025-12-04,account_takeover,confirmed_fraud,5196.43,2162.87,0.202
12,62655,2025-09-17,friendly_fraud,confirmed_fraud,1528.96,5029.68,0.048
13,89050,2025-01-13,merchant_collusion,false_positive,1196.59,53.98,0.345
14,33036,2025-10-25,card_not_present,false_positive,5470.84,708.67,0.665
15,179748,2025-10-06,account_takeover,confirmed_fraud,4900.58,3801.18,0.205
16,105242,2025-05-31,counterfeit,recovered,2993.57,3525.75,0.812
17,168512,2025-05-30,card_not_present,under_review,5712.9,2274.06,0.981
18,124507,2025-11-03,merchant_collusion,under_review,6726.98,166.78,0.813
19,149608,2025-03-06,friendly_fraud,confirmed_fraud,598.24,4164.51,0.184
20,44144,2025-06-10,merchant_collusion,false_positive,4051.94,5694.94,0.259
21,122085,2025-08-22,card_not_present,recovered,999.6,4851.94,0.233
22,25248,2025-01-03,merchant_collusion,confirmed_fraud,4770.22,1570.71,0.355
23,69843,2025-08-07,merchant_collusion,under_review,5651.51,61.57,0.436
24,42795,2025-05-25,card_not_present,under_review,6129.22,1063.8,0.662
25,75462,2025-07-02,card_not_present,recovered,249.18,4842.26,0.201
26,79053,2025-09-27,card_not_present,confirmed_fraud,5543.13,2556.56,0.029
27,19917,2025-06-10,merchant_collusion,recovered,6568.8,1118.91,0.7
28,90847,2025-05-09,account_takeover,false_positive,739.5,3529.0,0.195
29,4606,2025-01-05,merchant_collusion,under_review,7264.63,5076.14,0.826
30,6474,2025-07-16,identity_theft,false_positive,1740.35,3371.73,0.993
31,15225,2025-06-28,account_takeover,confirmed_fraud,3498.38,2252.22,0.449
32,58851,2025-09-01,account_takeover,confirmed_fraud,7622.51,3700.5,0.352
33,69915,2025-04-20,counterfeit,false_positive,5452.4,5120.91,0.673
34,60762,2025-09-24,counterfeit,confirmed_fraud,96.5,1730.14,0.565
35,33565,2025-05-21,account_takeover,under_review,7719.8,3425.53,0.91
36,157316,2025-01-26,identity_theft,confirmed_fraud,3131.43,3245.65,0.786
37,169608,2025-07-27,card_not_present,recovered,720.76,2731.31,0.16
38,8836,2025-07-31,merchant_collusion,under_review,7778.67,1050.91,0.894
39,133893,2025-12-14,friendly_fraud,under_review,3467.53,3930.15,0.014
40,77362,2025-08-26,account_takeover,confirmed_fraud,3473.58,2819.07,0.331
41,54704,2025-05-09,card_not_present,confirmed_fraud,5084.55,2069.45,0.908
42,81723,2025-07-25,identity_theft,recovered,6278.26,2808.84,0.18
43,108615,2025-03-24,identity_theft,false_positive,6843.61,1084.49,0.626
44,131822,2025-02-08,card_not_present,recovered,5976.71,4192.69,0.419
45,61552,2025-04-15,friendly_fraud,confirmed_fraud,875.03,5918.62,0.865
46,46502,2025-06-27,counterfeit,recovered,7663.5,5976.5,0.649
47,63373,2025-04-29,account_takeover,recovered,3338.6,684.2,0.808
48,13851,2025-05-02,account_takeover,confirmed_fraud,6835.46,1616.22,0.596
49,121294,2025-03-31,counterfeit,false_positive,4740.56,534.45,0.88
50,4833,2025-04-07,friendly_fraud,confirmed_fraud,2447.11,1906.0,0.569
51,84312,2025-07-29,account_takeover,false_positive,7945.98,73.52,0.311
52,85722,2025-03-31,card_not_present,confirmed_fraud,4806.15,2484.5,0.911
53,177813,2025-02-12,card_not_present,recovered,5495.94,4079.78,0.83
54,13104,2025-12-24,account_takeover,recovered,6359.21,2178.51,0.631
55,135426,2025-10-08,merchant_collusion,false_positive,7519.6,3266.45,0.989
56,51829,2025-02-05,counterfeit,confirmed_fraud,3326.7,5799.89,0.259
57,84996,2025-10-25,merchant_collusion,under_review,6945.72,2408.77,0.327
58,14428,2025-08-05,identity_theft,confirmed_fraud,6161.28,4469.88,0.411
59,81137,2025-05-23,account_takeover,recovered,4126.94,3337.23,0.876
60,57113,2025-11-16,friendly_fraud,confirmed_fraud,4444.96,133.93,0.47
61,72040,2025-05-21,merchant_collusion,recovered,6756.72,1675.45,0.339
62,47289,2025-12-15,card_not_present,under_review,628.82,5311.9,0.373
63,98463,2025-09-30,account_takeover,false_positive,6802.78,4788.21,0.784
64,166827,2025-09-05,counterfeit,confirmed_fraud,3205.71,5912.43,0.105
65,71855,2025-12-23,card_not_present,confirmed_fraud,104.49,1354.23,0.864
66,120844,2025-07-23,counterfeit,false_positive,7059.54,215.57,0.819
67,9981,2025-06-29,identity_theft,confirmed_fraud,6773.1,990.62,0.667
68,72167,2025-07-02,identity_theft,false_positive,4624.72,3521.96,0.875
69,134840,2025-08-01,counterfeit,confirmed_fraud,4062.97,1513.83,0.028
70,92702,2025-07-03,identity_theft,under_review,2409.59,883.72,0.298
71,531,2025-05-25,account_takeover,confirmed_fraud,3560.36,3782.56,0.795
72,14607,2025-08-17,friendly_fraud,confirmed_fraud,94.77,5031.46,0.157
73,123732,2025-04-13,identity_theft,recovered,2045.71,4336.7,0.39
74,121338,2025-08-13,counterfeit,false_positive,6562.57,3484.61,0.329
75,84857,2025-01-23,card_not_present,recovered,5514.72,4550.67,0.438
76,6880,2025-11-26,card_not_present,recovered,1284.28,1061.24,0.615
77,98910,2025-02-16,friendly_fraud,under_review,2257.15,917.28,0.922
78,103952,2025-01-11,card_not_present,under_review,2062.77,2601.43,0.107
