:START_ID,:END_ID,:TYPE
129,1,MADE
494,2,MADE
192,3,MADE
566,4,MADE
229,5,MADE
333,6,MADE
342,7,MADE
248,8,MADE
521,9,MADE
48,10,MADE
176,11,MADE
394,12,MADE
88,13,MADE
439,14,MADE
66,15,MADE
192,16,MADE
344,17,MADE
204,18,MADE
63,19,MADE
559,20,MADE
366,21,MADE
230,22,MADE
564,23,MADE
144,24,MADE
440,25,MADE
385,26,MADE
330,27,MADE
458,28,MADE
374,29,MADE
263,30,MADE
431,31,MADE
437,32,MADE
19,33,MADE
419,34,MADE
541,35,MADE
184,36,MADE
586,37,MADE
589,38,MADE
560,39,MADE
75,40,MADE
33,41,MADE
238,42,MADE
94,43,MADE
457,44,MADE
395,45,MADE
462,46,MADE
386,47,MADE
77,48,MADE
431,49,MADE
39,50,MADE
545,51,MADE
169,52,MADE
523,53,MADE
282,54,MADE
324,55,MADE
576,56,MADE
210,57,MADE
439,58,MADE
424,59,MADE
296,60,MADE
537,61,MADE
82,62,MADE
169,63,MADE
165,64,MADE
490,65,MADE
368,66,MADE
362,67,MADE
312,68,MADE
284,69,MADE
94,70,MADE
283,71,MADE
448,72,MADE
50,73,MADE
323,74,MADE
238,75,MADE
30,76,MADE
501,77,MADE
179,78,MADE
40,79,MADE
384,80,MADE
122,81,MADE
345,82,MADE
495,83,MADE
401,84,MADE
210,85,MADE
15,86,MADE
139,87,MADE
293,88,MADE
314,89,MADE
143,90,MADE
33,91,MADE
565,92,MADE
126,93,MADE
29,94,MADE
244,95,MADE
326,96,MADE
565,97,MADE
305,98,MADE
174,99,MADE
462,100,MADE
175,101,MADE
122,102,MADE
265,103,MADE
184,104,MADE
571,105,MADE
213,106,MADE
211,107,MADE
380,108,MADE
291,109,MADE
179,110,MADE
376,111,MADE
310,112,MADE
520,113,MADE
529,114,MADE
92,115,MADE
113,116,MADE
585,117,MADE
579,118,MADE
504,119,MADE
42,120,MADE
567,121,MADE
66,122,MADE
74,123,MADE
203,124,MADE
407,125,MADE
338,126,MADE
64,127,MADE
293,128,MADE
208,129,MADE
343,130,MADE
106,131,MADE
235,132,MADE
433,133,MADE
6,134,MADE
538,135,MADE
359,136,MADE
434,137,MADE
553,138,MADE
459,139,MADE
277,140,MADE
57,141,MADE
311,142,MADE
156,143,MADE
359,144,MADE
417,145,MADE
553,146,MADE
56,147,MADE
186,148,MADE
98,149,MADE
245,150,MADE
86,151,MADE
481,152,MADE
48,153,MADE
476,154,MADE
41,155,MADE
231,156,MADE
589,157,MADE
444,158,MADE
33,159,MADE
269,160,MADE
138,161,MADE
565,162,MADE
46,163,MADE
519,164,MADE
191,165,MADE
98,166,MADE
199,167,MADE
374,168,MADE
366,169,MADE
560,170,MADE
203,171,MADE
365,172,MADE
174,173,MADE
157,174,MADE
100,175,MADE
483,176,MADE
160,177,MADE
324,178,MADE
331,179,MADE
203,180,MADE
48,181,MADE
534,182,MADE
483,183,MADE
82,184,MADE
459,185,MADE
290,186,MADE
381,187,MADE
352,188,MADE
452,189,MADE
450,190,MADE
29,191,MADE
363,192,MADE
91,193,MADE
281,194,MADE
345,195,MADE
546,196,MADE
263,197,MADE
170,198,MADE
143,199,MADE
407,200,MADE
459,201,MADE
224,202,MADE
383,203,MADE
413,204,MADE
36,205,MADE
341,206,MADE
355,207,MADE
348,208,MADE
490,209,MADE
447,210,MADE
26,211,MADE
228,212,MADE
60,213,MADE
509,214,MADE
506,215,MADE
301,216,MADE
185,217,MADE
197,218,MADE
62,219,MADE
216,220,MADE
72,221,MADE
333,222,MADE
440,223,MADE
574,224,MADE
242,225,MADE
258,226,MADE
107,227,MADE
506,228,MADE
221,229,MADE
439,230,MADE
208,231,MADE
256,232,MADE
478,233,MADE
469,234,MADE
127,235,MADE
588,236,MADE
183,237,MADE
357,238,MADE
334,239,MADE
214,240,MADE
513,241,MADE
94,242,MADE
468,243,MADE
437,244,MADE
102,245,MADE
333,246,MADE
272,247,MADE
449,248,MADE
497,249,MADE
72,250,MADE
362,251,MADE
184,252,MADE
587,253,MADE
204,254,MADE
164,255,MADE
552,256,MADE
324,257,MADE
226,258,MADE
443,259,MADE
138,260,MADE
78,261,MADE
443,262,MADE
149,263,MADE
592,264,MADE
201,265,MADE
341,266,MADE
331,267,MADE
269,268,MADE
394,269,MADE
55,270,MADE
542,271,MADE
569,272,MADE
233,273,MADE
539,274,MADE
476,275,MADE
135,276,MADE
360,277,MADE
91,278,MADE
307,279,MADE
380,280,MADE
566,281,MADE
542,282,MADE
527,283,MADE
154,284,MADE
211,285,MADE
178,286,MADE
