merchant_id,merchant_category,merchant_country,merchant_name,acquirer_region,merchant_size,card_not_present_share,chargeback_ratio,merchant_risk_band
1,grocery,mx,merchant_1,asia_pacific,enterprise,0.757,0.0329,high
2,travel,fr,merchant_2,asia_pacific,micro,0.257,0.1763,moderate
3,grocery,us,merchant_3,north_america,micro,0.136,0.1223,elevated
4,fuel,us,merchant_4,asia_pacific,small,0.122,0.1485,elevated
5,gaming,us,merchant_5,europe,mid_market,0.791,0.0427,high
6,fuel,de,merchant_6,latin_america,micro,0.929,0.0017,elevated
7,digital_services,us,merchant_7,latin_america,micro,0.416,0.1277,elevated
8,electronics,br,merchant_8,europe,micro,0.64,0.1342,high
9,travel,sg,merchant_9,asia_pacific,enterprise,0.503,0.0049,low
10,gaming,br,merchant_10,latin_america,micro,0.093,0.0403,low
11,luxury,ae,merchant_11,asia_pacific,mid_market,0.975,0.1741,moderate
12,digital_services,uk,merchant_12,europe,micro,0.346,0.1224,low
13,digital_services,sg,merchant_13,europe,small,0.763,0.0949,low
14,gaming,uk,merchant_14,asia_pacific,small,0.165,0.106,high
15,gaming,fr,merchant_15,asia_pacific,small,0.441,0.0143,low
16,fuel,mx,merchant_16,asia_pacific,micro,0.06,0.1605,moderate
17,fuel,br,merchant_17,latin_america,small,0.662,0.0548,low
18,electronics,fr,merchant_18,asia_pacific,micro,0.536,0.1727,moderate
19,digital_services,ae,merchant_19,north_america,small,0.121,0.0557,elevated
20,grocery,ae,merchant_20,europe,small,0.056,0.1259,elevated
21,fuel,mx,merchant_21,north_america,mid_market,0.658,0.1279,elevated
22,luxury,ae,merchant_22,north_america,micro,0.941,0.1707,elevated
23,fuel,ae,merchant_23,asia_pacific,small,0.137,0.1783,high
24,grocery,sg,merchant_24,north_america,small,0.595,0.1463,elevated
25,grocery,uk,merchant_25,asia_pacific,mid_market,0.185,0.0497,high
26,grocery,ae,merchant_26,north_america,enterprise,0.551,0.0833,moderate
27,fuel,uk,merchant_27,asia_pacific,small,0.22,0.0824,low
28,electronics,sg,merchant_28,asia_pacific,micro,0.536,0.0145,high
29,electronics,mx,merchant_29,north_america,mid_market,0.131,0.1269,low
30,grocery,br,merchant_30,latin_america,micro,0.815,0.0362,low
31,gaming,sg,merchant_31,europe,micro,0.495,0.1619,elevated
32,grocery,fr,merchant_32,asia_pacific,mid_market,0.162,0.1681,elevated
33,grocery,mx,merchant_33,europe,mid_market,0.832,0.0634,high
34,gaming,fr,merchant_34,asia_pacific,small,0.062,0.0737,low
35,fuel,sg,merchant_35,asia_pacific,enterprise,0.275,0.1544,moderate
36,luxury,fr,merchant_36,asia_pacific,mid_market,0.833,0.1002,high
37,gaming,sg,merchant_37,asia_pacific,mid_market,0.234,0.1374,elevated
38,digital_services,uk,merchant_38,europe,mid_market,0.544,0.1637,high
39,grocery,fr,merchant_39,latin_america,small,0.313,0.0435,moderate
40,fuel,sg,merchant_40,europe,mid_market,0.378,0.1198,moderate
41,luxury,br,merchant_41,north_america,mid_market,0.962,0.0117,high
42,electronics,mx,merchant_42,asia_pacific,enterprise,0.854,0.1684,moderate
43,digital_services,ae,merchant_43,asia_pacific,enterprise,0.812,0.1339,moderate
44,grocery,fr,merchant_44,north_america,micro,0.812,0.1154,moderate
45,electronics,fr,merchant_45,latin_america,mid_market,0.756,0.0306,moderate
46,digital_services,us,merchant_46,europe,enterprise,0.479,0.1266,elevated
47,electronics,fr,merchant_47,north_america,enterprise,0.654,0.1586,high
48,electronics,mx,merchant_48,europe,enterprise,0.61,0.0136,high
49,fuel,us,merchant_49,europe,enterprise,0.572,0.0472,elevated
50,electronics,fr,merchant_50,north_america,mid_market,0.757,0.0286,elevated
51,electronics,sg,merchant_51,latin_america,small,0.482,0.142,low
52,luxury,ae,merchant_52,latin_america,mid_market,0.119,0.0405,high
53,fuel,uk,merchant_53,asia_pacific,mid_market,0.482,0.0898,elevated
54,grocery,br,merchant_54,europe,small,0.197,0.1238,low
55,grocery,br,merchant_55,asia_pacific,enterprise,0.497,0.0552,low
56,luxury,us,merchant_56,north_america,enterprise,0.72,0.1026,low
57,grocery,uk,merchant_57,asia_pacific,small,0.641,0.0251,elevated
58,gaming,uk,merchant_58,europe,enterprise,0.218,0.1346,moderate
59,travel,mx,merchant_59,europe,mid_market,0.934,0.0037,low
60,luxury,de,merchant_60,latin_america,enterprise,0.623,0.0038,low
61,digital_services,mx,merchant_61,latin_america,enterprise,0.152,0.1716,moderate
62,gaming,us,merchant_62,north_america,mid_market,0.428,0.0567,moderate
63,fuel,uk,merchant_63,north_america,enterprise,0.323,0.0621,low
64,electronics,fr,merchant_64,asia_pacific,mid_market,0.828,0.1773,elevated
65,travel,de,merchant_65,north_america,micro,0.574,0.1221,high
66,luxury,br,merchant_66,asia_pacific,mid_market,0.143,0.1332,high
67,gaming,br,merchant_67,latin_america,small,0.686,0.1454,moderate
68,travel,br,merchant_68,asia_pacific,micro,0.014,0.1488,low
69,electronics,mx,merchant_69,asia_pacific,mid_market,0.431,0.1104,moderate
70,fuel,sg,merchant_70,europe,small,0.271,0.1291,high
71,grocery,fr,merchant_71,europe,enterprise,0.572,0.0436,moderate
72,gaming,ae,merchant_72,europe,micro,0.031,0.0014,moderate
73,fuel,fr,merchant_73,asia_pacific,enterprise,0.161,0.1371,elevated
74,luxury,ae,merchant_74,europe,small,0.721,0.0744,high
75,electronics,br,merchant_75,latin_america,mid_market,0.235,0.0838,moderate
76,fuel,br,merchant_76,europe,mid_market,0.975,0.0344,elevated
77,travel,ae,merchant_77,asia_pacific,micro,0.454,0.028,elevated
78,digital_services,fr,merchant_78,asia_pacific,small,0.629,0.1522,moderate
79,luxury,sg,merchant_79,europe,mid_market,0.178,0.1082,moderate
80,travel,br,merchant_80,latin_america,micro,0.11,0.1024,elevated
81,fuel,ae,merchant_81,north_america,mid_market,0.239,0.0378,low
82,travel,fr,merchant_82,asia_pacific,micro,0.663,0.1499,low
83,fuel,br,merchant_83,north_america,micro,0.594,0.1476,low
84,travel,ae,merchant_84,europe,micro,0.545,0.1505,moderate
85,fuel,mx,merchant_85,north_america,enterprise,0.05,0.1022,moderate
86,travel,sg,merchant_86,north_america,mid_market,0.013,0.0975,moderate
87,luxury,uk,merchant_87,north_america,micro,0.714,0.0198,moderate
88,travel,us,merchant_88,latin_america,mid_market,0.19,0.1375,elevated
89,luxury,uk,merchant_89,north_america,small,0.413,0.0567,low
90,luxury,us,merchant_90,europe,mid_market,0.258,0.1403,high
91,grocery,mx,merchant_91,europe,small,0.785,0.0444,low
92,travel,sg,merchant_92,latin_america,mid_market,0.745,0.0775,high
93,electronics,uk,merchant_93,north_america,micro,0.733,0.1222,low
94,gaming,us,merchant_94,north_america,small,0.139,0.1361,elevated
95,luxury,fr,merchant_95,asia_pacific,micro,0.454,0.156,high
96,gaming,ae,merchant_96,asia_pacific,enterprise,0.369,0.0825,moderate
97,grocery,fr,merchant_97,latin_america,micro,0.444,0.1291,elevated
98,gaming,de,merchant_98,latin_america,mid_market,0.692,0.042,elevated
99,fuel,ae,merchant_99,north_america,mid_market,0.65,0.1193,low
100,digital_services,sg,merchant_100,asia_pacific,enterprise,0.914,0.028,elevated
101,gaming,br,merchant_101,asia_pacific,mid_market,0.977,0.047,high
102,luxury,fr,merchant_102,latin_america,micro,0.801,0.0573,low
103,gaming,br,merchant_103,europe,small,0.635,0.0381,elevated
104,luxury,us,merchant_104,asia_pacific,small,0.523,0.0037,elevated
105,grocery,us,merchant_105,europe,small,0.285,0.0802,high
106,digital_services,br,merchant_106,asia_pacific,micro,0.63,0.0551,elevated
107,gaming,mx,merchant_107,latin_america,micro,0.311,0.0093,moderate
108,gaming,mx,merchant_108,north_america,small,0.354,0.0399,low
109,gaming,us,merchant_109,europe,micro,0.316,0.1216,elevated
110,fuel,ae,merchant_110,latin_america,micro,0.905,0.158,moderate
111,luxury,de,merchant_111,europe,enterprise,0.261,0.1701,high
112,digital_services,br,merchant_112,europe,enterprise,0.896,0.0082,low
113,digital_services,de,merchant_113,north_america,micro,0.361,0.031,high
114,travel,mx,merchant_114,asia_pacific,micro,0.352,0.0289,moderate
115,luxury,sg,merchant_115,north_america,enterprise,0.406,0.0531,moderate
116,electronics,ae,merchant_116,latin_america,micro,0.642,0.0706,moderate
117,fuel,fr,merchant_117,asia_pacific,small,0.823,0.1194,low
118,luxury,uk,merchant_118,north_america,enterprise,0.965,0.0304,low
119,digital_services,br,merchant_119,europe,micro,0.571,0.0775,high
120,fuel,uk,merchant_120,north_america,micro,0.907,0.0934,elevated
121,travel,br,merchant_121,asia_pacific,mid_market,0.269,0.03,high
122,fuel,ae,merchant_122,europe,enterprise,0.583,0.1296,low
123,fuel,ae,merchant_123,north_america,mid_market,0.435,0.1043,moderate
124,luxury,ae,merchant_124,asia_pacific,mid_market,0.978,0.0923,moderate
125,travel,ae,merchant_125,europe,micro,0.429,0.099,elevated
126,grocery,br,merchant_126,europe,micro,0.105,0.0024,elevated
127,travel,ae,merchant_127,north_america,small,0.684,0.0412,moderate
128,fuel,mx,merchant_128,latin_america,micro,0.837,0.0906,elevated
129,electronics,de,merchant_129,north_america,enterprise,0.936,0.0514,moderate
130,travel,br,merchant_130,north_america,mid_market,0.389,0.0708,high
131,grocery,us,merchant_131,asia_pacific,enterprise,0.66,0.0205,elevated
132,travel,mx,merchant_132,asia_pacific,enterprise,0.587,0.0962,low
133,grocery,de,merchant_133,asia_pacific,mid_market,0.931,0.1006,elevated
134,luxury,sg,merchant_134,north_america,small,0.914,0.0155,elevated
135,digital_services,fr,merchant_135,north_america,micro,0.43,0.1372,moderate
136,luxury,ae,merchant_136,asia_pacific,small,0.272,0.1392,elevated
137,fuel,us,merchant_137,latin_america,small,0.048,0.0609,moderate
138,gaming,de,merchant_138,europe,micro,0.166,0.0745,elevated
139,electronics,fr,merchant_139,north_america,small,0.711,0.1714,elevated
140,electronics,de,merchant_140,north_america,micro,0.32,0.0,low
141,gaming,sg,merchant_141,north_america,mid_market,0.633,0.02,low
142,travel,de,merchant_142,north_america,micro,0.271,0.1187,moderate
143,luxury,ae,merchant_143,latin_america,micro,0.041,0.1394,high
144,electronics,ae,merchant_144,latin_america,enterprise,0.952,0.1642,moderate
145,travel,sg,merchant_145,asia_pacific,mid_market,0.295,0.0561,elevated
146,electronics,sg,merchant_146,europe,micro,0.889,0.1641,elevated
147,grocery,uk,merchant_147,europe,mid_market,0.762,0.1167,high
148,grocery,ae,merchant_148,asia_pacific,small,0.692,0.1523,elevated
149,grocery,us,merchant_149,asia_pacific,mid_market,0.593,0.0846,high
150,travel,sg,merchant_150,latin_america,micro,0.471,0.0585,elevated
151,travel,br,merchant_151,north_america,small,0.672,0.0679,elevated
152,digital_services,sg,merchant_152,latin_america,mid_market,0.795,0.1162,moderate
153,travel,br,merchant_153,asia_pacific,micro,0.538,0.0557,elevated
154,electronics,sg,merchant_154,asia_pacific,small,0.475,0.0743,low
155,gaming,de,merchant_155,north_america,mid_market,0.126,0.16,high
156,fuel,fr,merchant_156,europe,micro,0.122,0.0515,elevated
157,gaming,mx,merchant_157,latin_america,small,0.81,0.1717,elevated
158,electronics,de,merchant_158,europe,small,0.315,0.1152,low
159,electronics,sg,merchant_159,europe,mid_market,0.957,0.0207,low
160,electronics,de,merchant_160,asia_pacific,small,0.501,0.0711,elevated
161,grocery,ae,merchant_161,latin_america,micro,0.627,0.1077,elevated
162,fuel,ae,merchant_162,europe,small,0.747,0.056,high
163,gaming,ae,merchant_163,europe,enterprise,0.149,0.1409,elevated
164,electronics,uk,merchant_164,asia_pacific,enterprise,0.616,0.0051,high
165,gaming,mx,merchant_165,europe,micro,0.4,0.0389,high
166,fuel,mx,merchant_166,north_america,enterprise,0.593,0.0583,elevated
167,gaming,uk,merchant_167,latin_america,mid_market,0.307,0.0028,moderate
168,electronics,de,merchant_168,europe,mid_market,0.154,0.0134,moderate
169,grocery,uk,merchant_169,asia_pacific,small,0.288,0.0041,moderate
170,gaming,us,merchant_170,north_america,enterprise,0.203,0.056,elevated
171,digital_services,ae,merchant_171,asia_pacific,micro,0.677,0.1088,moderate
172,digital_services,de,merchant_172,latin_america,micro,0.088,0.0384,low
173,fuel,sg,merchant_173,latin_america,micro,0.07,0.0297,elevated
174,grocery,de,merchant_174,north_america,small,0.255,0.0867,high
175,travel,de,merchant_175,north_america,micro,0.445,0.093,low
176,gaming,mx,merchant_176,north_america,mid_market,0.147,0.0172,high
177,luxury,mx,merchant_177,europe,mid_market,0.102,0.1533,low
178,luxury,br,merchant_178,europe,small,0.138,0.1015,moderate
179,electronics,uk,merchant_179,latin_america,small,0.524,0.018,high
180,gaming,sg,merchant_180,europe,enterprise,0.177,0.0339,low
181,digital_services,ae,merchant_181,north_america,small,0.551,0.0715,low
182,travel,br,merchant_182,north_america,small,0.012,0.081,moderate
183,fuel,de,merchant_183,north_america,small,0.887,0.1186,moderate
184,electronics,ae,merchant_184,asia_pacific,mid_market,0.356,0.0769,high
185,digital_services,ae,merchant_185,europe,micro,0.776,0.1312,high
186,grocery,mx,merchant_186,latin_america,small,0.658,0.1305,elevated
187,fuel,fr,merchant_187,asia_pacific,mid_market,0.118,0.1385,high
188,grocery,br,merchant_188,europe,micro,0.088,0.1577,high
189,grocery,uk,merchant_189,asia_pacific,small,0.636,0.0455,elevated
190,fuel,sg,merchant_190,latin_america,micro,0.302,0.1275,low
191,digital_services,us,merchant_191,north_america,enterprise,0.479,0.087,high
192,fuel,br,merchant_192,north_america,enterprise,0.419,0.0196,low
193,travel,mx,merchant_193,asia_pacific,small,0.249,0.1643,high
194,travel,de,merchant_194,europe,mid_market,0.213,0.1039,low
195,fuel,ae,merchant_195,asia_pacific,enterprise,0.554,0.0352,moderate
196,digital_services,fr,merchant_196,europe,enterprise,0.202,0.0697,elevated
197,luxury,uk,merchant_197,europe,enterprise,0.868,0.0508,moderate
198,travel,ae,merchant_198,europe,small,0.44,0.0797,high
199,fuel,br,merchant_199,north_america,micro,0.948,0.1645,elevated
200,digital_services,sg,merchant_200,asia_pacific,enterprise,0.268,0.0376,elevated
201,travel,mx,merchant_201,latin_america,small,0.08,0.1226,moderate
202,fuel,us,merchant_202,europe,enterprise,0.861,0.1103,moderate
203,digital_services,br,merchant_203,latin_america,micro,0.377,0.0836,elevated
204,digital_services,mx,merchant_204,europe,mid_market,0.424,0.127,moderate
205,luxury,fr,merchant_205,asia_pacific,mid_market,0.213,0.0814,elevated
206,electronics,br,merchant_206,latin_america,enterprise,0.612,0.0366,low
207,digital_services,uk,merchant_207,asia_pacific,enterprise,0.613,0.0738,elevated
208,luxury,ae,merchant_208,europe,small,0.633,0.0638,elevated
209,electronics,fr,merchant_209,north_america,enterprise,0.833,0.0211,moderate
210,gaming,de,merchant_210,asia_pacific,micro,0.315,0.0982,elevated
211,travel,de,merchant_211,europe,small,0.801,0.0933,elevated
212,fuel,ae,merchant_212,latin_america,small,0.456,0.0258,elevated
213,luxury,uk,merchant_213,latin_america,mid_market,0.179,0.1306,elevated
214,grocery,br,merchant_214,asia_pacific,enterprise,0.866,0.1163,high
215,travel,de,merchant_215,europe,small,0.551,0.13,moderate
216,electronics,uk,merchant_216,asia_pacific,enterprise,0.279,0.1556,low
217,fuel,us,merchant_217,latin_america,enterprise,0.818,0.0068,low
218,electronics,fr,merchant_218,asia_pacific,small,0.683,0.013,moderate
219,travel,fr,merchant_219,asia_pacific,mid_market,0.688,0.0681,low
220,electronics,uk,merchant_220,asia_pacific,mid_market,0.642,0.0707,high
221,electronics,br,merchant_221,latin_america,micro,0.176,0.0263,elevated
222,fuel,uk,merchant_222,europe,mid_market,0.144,0.1677,low
223,luxury,de,merchant_223,asia_pacific,mid_market,0.289,0.0848,high
224,grocery,us,merchant_224,europe,small,0.815,0.0463,low
225,digital_services,fr,merchant_225,north_america,enterprise,0.729,0.0424,low
226,gaming,br,merchant_226,latin_america,enterprise,0.073,0.0527,high
227,travel,mx,merchant_227,north_america,enterprise,0.135,0.1227,high
228,gaming,us,merchant_228,europe,micro,0.863,0.0548,elevated
229,digital_services,br,merchant_229,latin_america,enterprise,0.772,0.1056,high
230,travel,mx,merchant_230,north_america,micro,0.739,0.1437,high
231,gaming,de,merchant_231,north_america,micro,0.898,0.1631,low
232,travel,us,merchant_232,asia_pacific,small,0.617,0.1203,low
233,electronics,br,merchant_233,asia_pacific,enterprise,0.054,0.0547,elevated
234,grocery,de,merchant_234,asia_pacific,micro,0.296,0.149,low
235,luxury,us,merchant_235,asia_pacific,mid_market,0.892,0.0155,elevated
236,electronics,sg,merchant_236,north_america,mid_market,0.017,0.0004,low
237,luxury,fr,merchant_237,asia_pacific,mid_market,0.44,0.051,moderate
238,gaming,sg,merchant_238,europe,enterprise,0.357,0.0049,moderate
239,luxury,mx,merchant_239,asia_pacific,enterprise,0.64,0.0183,moderate
240,fuel,br,merchant_240,asia_pacific,enterprise,0.042,0.1032,moderate
241,fuel,br,merchant_241,asia_pacific,small,0.54,0.1725,low
242,electronics,sg,merchant_242,asia_pacific,micro,0.853,0.0133,elevated
243,luxury,mx,merchant_243,europe,enterprise,0.751,0.1094,elevated
