:START_ID,:END_ID,:TYPE
283,1,OWNS
55,2,OWNS
125,3,OWNS
423,4,OWNS
25,5,OWNS
212,6,OWNS
172,7,OWNS
112,8,OWNS
345,9,OWNS
333,10,OWNS
192,11,OWNS
54,12,OWNS
305,13,OWNS
246,14,OWNS
382,15,OWNS
72,16,OWNS
245,17,OWNS
264,18,OWNS
429,19,OWNS
117,20,OWNS
344,21,OWNS
163,22,OWNS
130,23,OWNS
68,24,OWNS
398,25,OWNS
105,26,OWNS
30,27,OWNS
78,28,OWNS
237,29,OWNS
118,30,OWNS
25,31,OWNS
319,32,OWNS
247,33,OWNS
109,34,OWNS
319,35,OWNS
75,36,OWNS
83,37,OWNS
92,38,OWNS
399,39,OWNS
294,40,OWNS
317,41,OWNS
215,42,OWNS
324,43,OWNS
91,44,OWNS
44,45,OWNS
56,46,OWNS
251,47,OWNS
192,48,OWNS
228,49,OWNS
368,50,OWNS
174,51,OWNS
138,52,OWNS
292,53,OWNS
400,54,OWNS
279,55,OWNS
229,56,OWNS
408,57,OWNS
261,58,OWNS
102,59,OWNS
335,60,OWNS
238,61,OWNS
244,62,OWNS
332,63,OWNS
22,64,OWNS
410,65,OWNS
170,66,OWNS
115,67,OWNS
278,68,OWNS
187,69,OWNS
356,70,OWNS
88,71,OWNS
320,72,OWNS
47,73,OWNS
42,74,OWNS
367,75,OWNS
274,76,OWNS
355,77,OWNS
97,78,OWNS
18,79,OWNS
364,80,OWNS
392,81,OWNS
118,82,OWNS
194,83,OWNS
96,84,OWNS
32,85,OWNS
113,86,OWNS
268,87,OWNS
285,88,OWNS
154,89,OWNS
114,90,OWNS
342,91,OWNS
355,92,OWNS
332,93,OWNS
328,94,OWNS
91,95,OWNS
395,96,OWNS
86,97,OWNS
222,98,OWNS
266,99,OWNS
314,100,OWNS
15,101,OWNS
19,102,OWNS
381,103,OWNS
345,104,OWNS
434,105,OWNS
409,106,OWNS
211,107,OWNS
313,108,OWNS
381,109,OWNS
165,110,OWNS
163,111,OWNS
69,112,OWNS
57,113,OWNS
303,114,OWNS
407,115,OWNS
144,116,OWNS
103,117,OWNS
28,118,OWNS
174,119,OWNS
68,120,OWNS
137,121,OWNS
24,122,OWNS
305,123,OWNS
313,124,OWNS
381,125,OWNS
306,126,OWNS
44,127,OWNS
23,128,OWNS
165,129,OWNS
365,130,OWNS
