transaction_id,card_id,merchant_id,transaction_date,merchant_category,transaction_amount,merchant_country,entry_mode,transaction_currency
1,14954,5948,2025-11-25,jewelry,4103.68,uk,contactless,eur
2,14133,1323,2025-04-19,gaming,212.56,fr,wallet,gbp
3,7308,686,2025-08-31,fuel,5420.82,fr,manual_keyed,usd
4,15391,9103,2025-07-25,fuel,6169.53,uk,wallet,cad
5,3787,7019,2025-01-23,travel,3782.84,uk,manual_keyed,gbp
6,2112,8616,2025-10-29,jewelry,1002.74,br,ecommerce,cad
7,22283,3900,2025-04-18,digital_services,3301.13,fr,contactless,gbp
8,2027,9871,2025-01-08,jewelry,5555.38,mx,manual_keyed,cad
9,4079,5836,2025-11-29,electronics,5130.5,fr,contactless,gbp
10,48,12741,2025-06-04,digital_services,5835.69,de,ecommerce,usd
11,13222,4763,2025-10-24,electronics,2884.89,ae,ecommerce,gbp
12,394,14768,2025-07-23,gaming,3384.85,br,manual_keyed,usd
13,4832,2537,2025-05-19,grocery,8294.45,br,manual_keyed,gbp
14,10520,9052,2025-12-12,cash_advance,9208.03,mx,chip,cad
15,22007,11127,2025-01-22,gaming,1792.03,us,manual_keyed,eur
16,1378,14867,2025-03-15,gaming,2867.59,mx,contactless,cad
17,13983,2129,2025-12-27,travel,660.94,mx,manual_keyed,gbp
18,2576,12402,2025-07-18,cash_advance,8421.58,br,ecommerce,gbp
19,3621,6,2025-06-09,cash_advance,4746.31,mx,chip,gbp
20,3524,2041,2025-03-18,gaming,5314.5,sg,chip,cad
21,19935,11354,2025-12-30,jewelry,4182.95,sg,manual_keyed,gbp
22,20985,2777,2025-08-03,grocery,7593.32,us,ecommerce,gbp
23,2936,1917,2025-08-07,cash_advance,8295.57,us,contactless,eur
24,23271,7212,2025-01-13,electronics,4072.08,uk,chip,usd
25,8149,14466,2025-01-22,digital_services,1990.05,br,wallet,usd
26,18175,7623,2025-06-29,electronics,5359.13,de,wallet,gbp
27,3295,5117,2025-02-15,travel,4054.85,uk,ecommerce,usd
28,13504,2683,2025-10-23,electronics,5273.69,ae,chip,cad
29,8676,7018,2025-06-02,electronics,76.49,us,manual_keyed,cad
30,10937,14946,2025-06-20,jewelry,3102.42,mx,manual_keyed,usd
31,17628,12034,2025-04-01,fuel,4771.47,de,chip,usd
32,10518,14043,2025-06-18,grocery,3623.69,fr,ecommerce,eur
33,612,8146,2025-08-13,grocery,2027.45,br,ecommerce,eur
34,6349,8963,2025-08-14,travel,6160.72,br,chip,usd
35,23668,4428,2025-08-20,grocery,86.23,sg,chip,gbp
